prerequisites,course,description,unit,title
None,AFROAMER 678,"
Uses an interdisciplinary framework to examine the key assumptions, debates, and silences in contemporary black feminist thought. Enroll Info: Sophomore standing, a GenWS course, an AfroAmer course or consent of instructor",3 ,THE CARIBBEAN AND ITS DIASPORAS
None,AFROAMER/​GEN&WS  679,"
",3 , 
None,AFROAMER 681,"
Black literature and culture during the 1920's. Focus on unique Black literary expression of era, historical background, esthetics, polemical essays. Enroll Info: None",3 ,ART AND VISUAL CULTURE: WOMEN OF THE AFRICAN DIASPORA AND AFRICA
None,AFROAMER 682,"
",3 , 
None,AFROAMER 691,"
Focuses on the notion of blackness as it is developed in the poetry and drama of key figures of the 1960s Black Arts Movement. Emphasizes the emergence of a critical discourse specific to a ""new"" black aesthetic. Enroll Info: None",2-3 ,"SLAVERY, CIVIL WAR, AND RECONSTRUCTION, 1848-1877"
None,AFROAMER 692,"
",2-3 ,"MUSIC CULTURES OF THE WORLD: AFRICA, EUROPE, THE AMERICAS"
None,ANTHRO/​FOLKLORE  520,"
",4 ,STUDY ABROAD: TOPICS IN BIOLOGICAL ANTHROPOLOGY
None,ANTHRO/​FOLKLORE/​MUSIC/​THEATRE  539,"
Folklore as cultural process. Reviews interdisciplinary history of theories and methods, examining folklore in terms of genres, performance, cultural construction of gendered identities, sociology of knowledge, domination and resistance. Involves field collections. Enrollment limited to 25. Enroll Info: None",3 ,STUDY ABROAD: TOPICS IN CULTURAL ANTHROPOLOGY
None,ANTHRO 545,"
",3 ,SYMBOLIC ANTHROPOLOGY
None,ANTHRO/​ED POL  570,"
Comparison of the form and function of such social institutions as marriage and the family, age and sex groups, secret societies, task groups, and class in cross-cultural perspective. Enroll Info: ",3 ,PRIMATE BEHAVIORAL ECOLOGY
None,ANTHRO 601, or cons inst,3 ,THE ANTHROPOLOGY OF DANCE: MOVEMENT AND MUSIC IN PERFORMANCE
None,ANTHRO 603,"
",3 , 
None,ANTHRO 604,"
Production, distribution and consumption in nonliterate societies; land tenure and personal property concepts, prestige systems, and incentives to labor. Enroll Info: ",3 ,ETHNOBOTANY
None,ANTHRO 605, or cons inst,3 ,"ANTHROPOLOGY, ENVIRONMENT, AND DEVELOPMENT"
None,ANTHRO 606,"
",3-4 ,UNDERGRADUATE SEMINAR
None,ANTHRO/​NTP/​PSYCH/​ZOOLOGY  619,"
Comparison and analysis of political structures, behavior and processes among selected peoples of the world; special emphasis on leadership, authority, power, and the origins of the states; the relevance of primitive political systems to anthropological theory and to the comparative study of politics. Enroll Info: Jr st or cons inst",3 ,ETHNIC REPRESENTATIONS IN WISCONSIN
None,ANTHRO 632,"
",3 ,THE FOLKLORE OF FESTIVALS AND CELEBRATIONS
None,ANTHRO/​FOLKLORE  639,"
The origins and development of early technologies. Impact of key prehistoric and pre-industrial inventions on the course of human evolution. Enroll Info: Intro archaeol crse or cons inst",6-8 ,PSYCHOLOGICAL ANTHROPOLOGY
None,ANTHRO 658,"
",3 , 
None,ANTHRO/​RELIG ST  666,"
Description and analysis of Indian cultures in the area around the western Great Lakes, with special emphasis on traditional cultures of the Indians in Wisconsin. Enroll Info: ",3 ,ANTHROPOLOGY AND EDUCATION
None,ANTHRO 668,", ",3 ,PROSEMINAR IN BIOLOGICAL ANTHROPOLOGY
None,ANTHRO 681, or cons inst,3 ,SEMINAR IN EVOLUTIONARY THEORY
None,ANTHRO 682,"
",3 ,SEMINAR: TOPICS IN PHYSICAL ANTHROPOLOGY OF THE LIVING
None,ANTHRO 690,"
Introduces students to the archaeological evidence for the diverse Native American cultures of Wisconsin over the past 12,000 years. Enroll Info: None",3-4 ,SEMINAR-CURRENT PROBLEMS IN PALEOANTHROPOLOGY
None,ANTHRO 691,"
",2 , 
None,ANTHRO 692,"
Japanese culture from anthropological perspectives. Emphasis on the order of meaning which serves both as model for and model of the day-to-day behavior and thought processes of the Japanese. Enroll Info: Jr st",2 ,"ETHNICITY, NATIONS, AND NATIONALISM"
None,ANTHRO 696,"
",1-3 ,BIOLOGY OF MIND
None,ANTHRO 698,"
Topics of immediate concern to the field of anthropology and Chinese studies. Focus on social and cultural changes in rural, urban, as well as ethnic minority settings in post-1949 China. Enroll Info: So st or cons inst",1-6 ,LINGUISTIC ANTHROPOLOGY
None,ANTHRO 699,"
",1-6 ,FIELD SCHOOL: ETHNOGRAPHY OF WISCONSIN FESTIVALS
None,ANTHRO/​ART HIST/​DS/​HISTORY/​LAND ARC  764,"
Phonology and morphology; concentration on the acquisition of conversational skills; reading of texts of graded difficulty; three hours classroom and one hour lab. Enroll Info: None",4 ,ECOLOGICAL MODELS OF BEHAVIOR
None,ANTHRO/​HISTORY  774,"
",3 ,THE ANTHROPOLOGY OF SHAMANISM AND OCCULT EXPERIENCE
None,ANTHRO 860,"
Continuation of 361. Enroll Info: ",3 ,PRIMATE CONSERVATION
None,ANTHRO 900, or cons inst. Open to Fr,3 ,SENIOR HONORS THESIS
None,ANTHRO/​PSYCH  906,"
",1-3 ,SENIOR HONORS THESIS
None,ANTHRO 909,"
Advanced morphology and syntax; advanced conversation and composition; cultural background of Quechua speaking peoples through reading of myths, legends and folktales. Enroll Info: None",3 ,PROBLEMS IN ANTHROPOLOGY
376,ART 536,"
Application of lighting design to the stage and natural environment. Color principles, lighting instruments, and control equipment. Production participation and labs. Enroll Info: None",4 ,ADVANCED WOOD WORKING
ART 104,ART 542,"
",4 ,ADVANCED SERIGRAPHY
214,ART 544,"
Principles of composition, scale, perspective, and color applied to the stage; production of ground plans, elevations, sketches, and models. Enroll Info: None",4 ,ADVANCED WATERCOLOR I
224,ART 546,"
",4 ,ADVANCED ART METAL I
244,ART 548,"
Techniques, philosophies, and concepts in photography as an art form. Emphasis on personal expression and relationship to other media. Enroll Info: None",1-4 ,GRAPHIC DESIGN FOR PUBLICATIONS
334,ART 552,"
",4 ,SPECIAL TOPICS: ADVANCED LEVEL
ART 107,ART 554,"
This online course allows students who have found outside art-related internships to earn academic credit in connection with their work experience. Enroll Info: None",4 ,ADVANCED PAINTING: NEW FIGURATION II
108,ART 556,"
",4 ,ADVANCED GLASSWORKING
208,ART 560,"
Introduction to the practice and application of digital fabrication technologies in an artistic context with an emphasis on extending and integrating with traditional material approaches to art production. Includes theoretical readings devoted to the implications of digital and machine technologies on art practice. Enroll Info: None",4 ,GRAPHIC DESIGN FOR INTERACTIVE MEDIA
ART 100,ART 563,"
",4 ,GRAPHIC DESIGN SENIOR THESIS PROJECT AND EXHIBITION
102,ART 565,"
Continued exploration of conceptual drawing in various media. Emphasis on conceptual/formal solutions. Enroll Info: None",4 ,GRAPHIC DESIGN FOR GAMES
104,ART 568,"
",4 ,TYPEFACE DESIGN
107,ART 570,"
Traditional and nontraditional methods of fine art foundry. Enroll Info: None",3-4 ,MOTION TYPOGRAPHY
108,ART/​THEATRE  572,"
",3 ,ADVANCED TOPICS IN 4D ART
176,ART 575,"
Continued development of technical processes, concepts, historical continuity. Study and application of various media of oils, acrylics, collage materials. Enroll Info: None",4 ,SET DESIGN II
208,ART 576,"
",4 ,USER EXPERIENCE FOR GRAPHIC DESIGN
ART 107,ART 608,"
Explore current and historical practices in the digital fine arts while refining conceptual and technical understanding of digital art forms as powerful tools for generating and communicating images and ideas. Students will create and manipulate both static and moving imagery, with implications for digital drawing, painting, print-making, video editing/post-production, and narrative or non-narrative 2D animation in a fine art context. Enroll Info: None",3 ,ADVANCED PHOTOGRAPHY
ART 312,ART 612,"
",3-4 ,INTERDISCIPLINARY CRITIQUE IN THE VISUAL ARTS
ART 104,ART 614,"
Introduction to three-dimensional modeling in the computer, in particular the use of 3D digital models for the creation of images and objects. Enroll Info: None",3-4 ,ADVANCED DRAWING II
214,ART 618,"
",4 ,ADVANCED SCULPTURE WORKSHOP 2
224,ART 622,"
Examines the major developments and changes in graphic design and typography as the fields emerged and defined themselves during the last one hundred years. Enroll Info: None",3 ,ADVANCED ARTISTS' VIDEO
244,ART 624,"
",4 ,ADVANCED UNDERGRADUATE PAINTING WORKSHOP
314,ART 629,"
Advanced instruction in the production of sound tracks to complement the work of artists in dance, video, film, computer art and other interdisciplinary forms. Enroll Info: None",4 ,ADVANCED CERAMICS II
334,ART 632,"
",3-4 ,3D DIGITAL STUDIO III
None,AFROAMER 699,"
Major topics in the history of Caribbean societies from the European conquest to the present. Emphasis on colonial rule, slavery, and the diaspora communities created by Caribbean peoples in the United States and Europe. Enroll Info: None",1-6 , 
None,AFROAMER/​ED POL/​HISTORY  712,"
",3 ,AFRICAN AMERICAN RELIGIONS
None,AFROAMER 790,"
This course focuses on the art and visual culture by/or pertaining to women throughout the African Diaspora and Africa. Though the focus is on 10th century art by black women, it will go into visual culture (art objects, photographs, images, dress, culturally-coded representation) concerning black women historically. Enroll Info: Afro-Amer 242; majors only; So st or cons inst",1-12 ,CONTEMPORARY AFRICAN AND CARIBBEAN DRAMA
None,AFROAMER/​ART HIST  801,"
",3 , 
None,AFROAMER/​ART HIST  802,"
African-American slavery and its impact on mid-19th century social, political, and economic life; the causes, course, and consequences of the Civil War; the rise and fall of postwar Reconstruction and non-racial citizenship; the impact of these histories on contemporary American society. Enroll Info: None",3 ,MUTUAL PERCEPTIONS OF RACIAL MINORITIES
None,AFROAMER/​AFRICAN  813,"
",3 , 
ART HIST 202,ART HIST 101,"
A critical introduction to the materials, techniques, and interpretation of art. Discussions of the art of various times and cultures, including contemporary America. Enroll Info: None",4 ,"THE STUDY OF ART, PRESENT AND PAST"
227,ART HIST 103,"
",3-4 ,TOPICS IN ART HISTORY
365,ART HIST 104,"
Offers an introduction to world art by taking a thematic approach. Course topics will center around art and architecture produced in a variety of media, from a wide time span, and a range of cultural and geographic points of origin. Enroll Info: None",3-4 , 
None,ART HIST 105,"
",3 ,THE ART OF DIVERSITY: RACE AND REPRESENTATION IN THE ART AND VISUAL CULTURE OF THE UNITED STATES
None,ART HIST 201,"
The history of art and visual culture in the United States from the period of colonization until the present from the perspective of how that imagery produced ideas of race and operated to define, exclude, and include various groups over time. Three basic aims: 1. To introduce students to the art history of the United States from c. 1600-2018; 2.To provide skills in visual analysis and critical thinking; and 3. To encourage the understanding of ethnic and cultural minorities in the United States with an emphasis on the visual arts related to marginalization or minority status in the twentieth-and twenty-first century. Enroll Info: None",4 ,INTRODUCTORY TOPICS IN ART HISTORY
None,ART HIST 202,"
",4 ,HISTORY OF WESTERN ART I: FROM PYRAMIDS TO CATHEDRALS
None,ART HIST 203,"
This is a seminar-type course primarily to be offered as a FIG coordinating course. Topics will vary. Enroll Info: None",3-4 ,HISTORY OF WESTERN ART II: FROM RENAISSANCE TO CONTEMPORARY
None,ART HIST/​AFROAMER  204,"
",3 ,SURVEY OF ASIAN ART
None,ART HIST 205,"
Examines the arts and cultures of Europe and the Mediterranean basin before the Renaissance. We explore canonical works such as the pyramids at Giza, the Parthenon in Athens, the Venus di Milo, Hagia Sophia in Constantinople, the Book of Kells, the Great Mosque at Córdoba, Chartres cathedral, and Giotto's Arena Chapel. But we also define art broadly, to encompass the material culture of everyday life, including jewelry, ceramics, and textiles. We consider the social and historical contexts of art and artistic production - art and imperialism, ethnicity, technology, religious ritual and belief, and myth and storytelling. These explorations address basic human concerns: death and the afterlife, desire and the body, self-definition and portraiture, power and propaganda, monstrosity and the supernatural, the divine and the sacred. We develop crucial skill sets: critical visual analysis, contextual interpretation, research methods and resources, historiography, and oral, written and digital communication. Students will apply these skills in assignments focused on works of art in the Chazen Museum. Enroll Info: None",3-4 ,INTRODUCTION TO VISUAL CULTURES
